Label,URL,brand,name,price,rating,skin_type,ingredients,product_image
lip-treatments,https://www.sephora.com/product/lip-sleeping-mask-P420652?icid2=products%20grid:p420652,LANEIGE,Lip Sleeping Mask,$22.00 ,13K,"['✔ Normal\n', '✔ Oily\n', '✔ Combination\n', '✔ Dry\n', '✔ Sensitive\n']","-Moisture Wrap™ Technology: Features a mineral network of moisture-rich beta-glucan to form an eight-hour time-release moisturizing layer over skin; locks in active ingredients and mineral water.
-Berry Mix Complex™: Rich in vitamin C and antioxidants from a nutritious blend of raspberries, strawberries, cranberries, goji berries, and blueberries to soothe and soften, revealing smooth, supple lips.

Diisostearyl Malate, Hydrogenated Polyisobutene, Phytosteryl / Isostearyl / Cetyl / Stearyl / Behenyl Dimer Dilinoleate, Hydrogenated Poly(C6-14 Olefin), Polybutene, Microcrystalline Wax / Cera Microcristallina / Cire Microcristalline, Butyrospermum Parkii (Shea) Butter, Synthetic Wax, Euphorbia Cerifera (Candelilla) Wax / Candelilla Cera / Cire de Candelilla, Sucrose Tetrastearate Triacetate, Butylene / Ethylene / Styrene Copolymer, Ethylene / Propylene / Styrene Copolymer, Mica (CI 77019), Astrocaryum Murumuru Seed Butter, Titanium Dioxide (CI 77891), Dimethicone, Fragrance / Parfum, Polyglyceryl-2 Diisostearate, Dehydroacetic Acid, Methicone, Copernicia Cerifera (Carnauba) Wax / Cera Carnauba / Cire de Carnauba, Polyglyceryl-2 Triisostearate, Yellow 6 Lake (CI 15985), Red 6 (CI 15850), Polyhydroxystearic Acid, Water, Potassium Alginate, Propanediol, Glycerin, Alcohol, Lycium Chinense Fruit Extract, Vaccinium Macrocarpon (Cranberry) Fruit Extract, Fragaria Chiloensis (Strawberry) Fruit Extract, Rubus Idaeus (Raspberry) Fruit Extract, Sapindus Mukorossi Fruit Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, Rubus Chamaemorus Seed Extract, Coffea Arabica (Coffee) Seed Extract, Chenopodium Quinoa Seed Extract, Magnesium Sulfate, Calcium Chloride, Sodium Hyaluronate, Beta-Glucan, Manganese Sulfate, Zinc Sulfate, Ascorbyl Glucoside.",https://www.sephora.com/productimages/sku/s1966258-main-zoom.jpg?imwidth=315
lip-treatments,https://www.sephora.com/product/dior-addict-lip-glow-color-reviver-balm-P236816?icid2=products%20grid:p236816,Dior,Dior Addict Lip Glow,$35.00 ,675,"['✔ Normal\n', '✔ Oily\n', '✔ Combination\n', '✔ Dry\n', '✔ Sensitive\n']","Polyglyceryl-2 Triisostearate, Helianthus Annuus (Sunflower) Seed Oil, Hydrogenated Castor Oil Dimer Dilinoleate, Phytosteryl/Octyldodecyl Lauroyl Glutamate, Jojoba Esters, Polyglyceryl-2 Isostearate/Dimer Dilinoleate Copolymer, Euphorbia Cerifera (Candelilla) Wax, Behenyl Behenate, Helianthus Annuus (Sunflower) Seed Wax, Butyrospermum Parkii (Shea) Butter, Oryza Sativa (Rice) Bran Wax, Caprylic/Capric Triglyceride, Parfum (Fragrance), Trimethylolpropane Triisostearate, Diisostearyl Malate, Butyrospermum Parkii (Shea) Butter Unsaponifiables, Prunus Avium (Sweet Cherry) Seed Oil, Tocopherol, Ethyl Vanillin, Ascorbyl Palmitate, Undaria Pinnatifida Extract, Propyl Gallate, [+/- Ci 15850 (Red 6, Red 7, Red 7 Lake), Ci 15985 (Yellow 6 Lake), Ci 19140 (Yellow 5 Lake), Ci 42090 (Blue 1 Lake), Ci 45410 (Red 28 Lake), Ci 45380 (Red 21), Ci 73360 (Red 30 Lake), Ci 77491, Ci 77492, Ci 77499 (Iron Oxides), Ci 77891 (Titanium Dioxide)].",https://www.sephora.com/productimages/sku/s2447043-main-zoom.jpg?imwidth=315
lip-treatments,https://www.sephora.com/product/laneige-lip-treatment-balm-P469490?icid2=products%20grid:p469490,LANEIGE,Lip Treatment Balm,$25.00 ,106,"['✔ Normal\n', '✔ Oily\n', '✔ Combination\n', '✔ Dry\n']","-Coconut Oil: Deeply moisturizes to lock in hydration and visibly softens lips.
-Peptide and Adenosine: Visibly smooth lip wrinkles while boosting the look of fullness and firmness.
-Pearlescent Shine: Reflects light for an illuminated pout.

Diisostearyl Malate, Hydrogenated Polyisobutene, Phytosteryl/ Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate, Polybutene, Hydrogenated Poly (C6-14 Olefin), Butyrospermum Parkii (Shea) Butter, Microcrystalline Wax/Cera Microcristallina/Cire Microcristalline, Synthetic Wax, Ethylene/Propylene/Styrene Copolymer, Sucrose Tetrastearate Triacetate, Mica, Titanium Dioxide (Ci 77891), Euphorbia Cerifera (Candelilla) Wax/Candelilla Cera Hydrocarbons/Cire De Candelilla, Ethylhexyl Palmitate, Fragrance/Parfum, Candelilla Wax Esters, Astrocaryum Murumuru Seed Butter, Tribehenin, Menthoxypropanediol, Glycerin, Cocos Nucifera (Coconut) Oil, Oenothera Biennis (Evening Primrose) Oil, Lecithin, Butylene/Ethylene/Styrene Copolymer, Sorbitan Isostearate, Copernicia Cerifera (Carnauba) Wax/Copernicia Cerifera Cera/Cire De Carnauba, Dehydroacetic Acid, Adenosine, Tocopherol, Lactic Acid, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Palmitoyl Tripeptide-1.",https://www.sephora.com/productimages/sku/s2449908-main-zoom.jpg?imwidth=315
lip-treatments,https://www.sephora.com/product/nars-soft-matte-tinted-lip-balm-P468392?icid2=products%20grid:p468392,NARS,Soft Matte Tinted Lip Balm,$28.00 ,121,"['✔ Normal\n', '✔ Oily\n', '✔ Combination\n', '✔ Dry\n', '✔ Sensitive\n']","-Bamboo Fibers: Impart a diffused, soft-focus effect due to their ability to absorb moisture.
-Amino Acid Powder: Amplifies formula’s silky texture for optimal spreadability.
-Olive Oil: Boosts creaminess without feeling greasy or sticky.

Pentaerythrityl Tetraisostearate, C12-15 Alkyl Benzoate, Octyldodecanol, Polyethylene, Mica, Silica, Lauroyl Lysine, Bambusa Arundinacea Stem Powder, Triacontanyl Pvp, Dicalcium Phosphate, Silica Silylate, Synthetic Wax, Hydrogenated Olive Oil, Olea Europaea (Olive) Fruit Oil, Olea Europaea (Olive) Oil Unsaponifiables, Tocopheryl Acetate, Disteardimonium Hectorite, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Ethyl Vanillin, [+/-(May Contain/Peut Contenir): Blue 1 Lake (Ci 42090), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Manganese Violet (Ci 77742), Red 6 (Ci 15850), Titanium Dioxide (Ci 77891), Yellow 5 Lake (Ci 19140)].",https://www.sephora.com/productimages/sku/s2419893-main-zoom.jpg?imwidth=315
lip-treatments,https://www.sephora.com/product/sugar-lip-treatment-spf-15-P57002?icid2=products%20grid:p57002,fresh,Sugar Lip Balm Sunscreen SPF 15,$24.00 ,9.7K,"['✔ Full\n', '✔ Sensitive\n', '✔ Normal\n', '✔ Dry\n', '✔ Combination\n', '✔ Oily\n', '✔ Natural\n']","-Octinoxate 6.74%

Cera Alba (Beeswax), Ricinus Communis (Castor) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Hydrogenated Olive Oil Decyl Esters, Ethylhexyl Methoxycinnamate, Vitis Vinifera (Grape) Seed Oil, Parfum (Fragrance), Copernicia Cerifera (Carnauba) Wax, Persea Gratissima (Avocado) Oil, Limnanthes Alba (Meadowfoam) Seed Oil, Passiflora Incarnata Seed Oil, Sucrose Tetrastearate Triacetate, Ribes Nigrum (Black Currant) Seed Oil, Tocopherol, Ascorbyl Tetraisopalmitate, Ascorbyl Palmitate, Ammonium Glycyrrhizate, Vanillin, BHT, Polyglyceryl-3 Polyricinoleate, Propyl Gallate, Limonene, Citral, Benzyl Alcohol, Linalool, Geraniol, Citronellol, [+/- : CI 15850 (Red 6, Red 7, Red 7 Lake), CI 15985 (Yellow 6, Yellow 6 Lake), CI 19140 (Yellow 5, Yellow 5 Lake), CI 42090 (Blue 1 Lake), CI 45410 (Red 27, Red 27 Lake, Red 28 Lake), CI 77491, CI 77492, CI 77499 (Iron Oxides), CI 77891 (Titanium Dioxide)].

Clean at Sephora products are formulated without:
Sulfates—SLS + SLES, Parabens, Formaldehydes, Formaldehyde-releasing agents, Phthalates, Mineral Oil, Retinyl Palmitate, Oxybenzone, Coal Tar, Hydroquinone, Triclosan, Triclocarban, Undisclosed synthetic fragrances (Products can be formulated with disclosed synthetic fragrances that meet the following two criteria: (1) the synthetic fragrances do not include any of the ingredients listed in numbers 1 through 12 above and (2) the synthetic fragrances are at a concentration below 1% of the total formula) The following type of acrylates: (ethyl acrylate, ethyl methacrylate, methyl methacrylate, butyl methacrylate, hydroxypropyl methacrylate, tetrahydrofurfuryl methacrylate, trimethylolpropane trimethacrylate , aluminum salts), Animal Oils/Musks/Fats, Benzophenone + Related Compounds, Butoxyethanol, Carbon Black, Lead/Lead Acetate, Methyl Cellosolve + Methoxyethanol, Methylchloroisothiazolinone & Methylisothiazolinone, Mercury + Mercury Compounds (Thimerisol), Insoluble Plastic Microbeads (This prohibited ingredient applies to products that are meant to be rinsed off ), Resorcinol, Talc (Talc that is free of any asbestos can be used in the formulation provided that Brand conducts testing to ensure that talc is free of any asbestos.), Toluene, Butylated hydroxyanisole (BHA), Butylated hydroxytoluene (BHT) that is 0.1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles as defined by the European Commission, Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer , styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin).",https://www.sephora.com/productimages/sku/s1190529-main-zoom.jpg?imwidth=315
lip-treatments,https://www.sephora.com/product/glowy-lip-balm-P443563?icid2=products%20grid:p443563,LANEIGE,Lip Glowy Balm,$17.00 ,2.8K,"['✔ Normal\n', '✔ Oily\n', '✔ Combination\n', '✔ Sensitive\n']","Hydrogenated Polyisobutene, Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate, Hydrogenated Poly(C6-14 Olefin), Diisostearyl Malate, Polybutene, Phytosteryl Isostearyl Dimer Dilinoleate, Microcrystalline Wax / Cera Microcristallina / Cire Microcristalline, Butyrospermum Parkii (Shea) Butter, Sucrose Tetrastearate Triacetate, Ethylene/Propylene/Styrene Copolymer, Synthetic Wax, Mica, Euphorbia Cerifera (Candelilla) Wax / Candelilla Cera Hydrocarbons / Cire De Candelilla, Astrocaryum Murumuru Seed Butter, Fragrance / Parfum, Candelilla Wax Esters, Titanium Dioxide (Ci 77891), Polyglyceryl-2 Diisostearate, Dimethicone, Dehydroacetic Acid, Butylene/Ethylene/Styrene Copolymer, Methicone, Copernicia Cerifera (Carnauba) Wax / Copernicia Cerifera Cera / Cire De Carnauba, Polyglyceryl-2 Triisostearate, Red 7 (Ci 15850), Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Blue 1 Lake (Ci 42090), Polyhydroxystearic Acid, Bht.",https://www.sephora.com/productimages/sku/s2371359-main-zoom.jpg?imwidth=315
lip-treatments,https://www.sephora.com/product/charlotte-tilbury-hyaluronic-happi-kiss-color-lip-balm-P468347?icid2=products%20grid:p468347,Charlotte Tilbury,Hyaluronic Happikiss Lipstick Balm,$34.00 ,68,"['✔ Normal\n', '✔ Oily\n', '✔ Combination\n', '✔ Dry\n']","-Hyaluronic Acid: Hydrates and nourishes for plumper-looking lips.
-C-Peptide: Reduces the appearance of vertical lip lines.
-Rich Emollients: Increase color payoff and provide a glossy finish.

Diisostearyl Malate, Bis-Behenyl/Isostearyl/Phytosteryl Dimer Dilinoleyl Dimer Dilinoleate, Bis-Diglyceryl Polyacyladipate-2, Hydrogenated Polyisobutene, Ceresin, Octyldodecanol, Synthetic Wax, Pentaerythrityl Tetraisostearate, 1,2-Hexanediol, Disteardimonium Hectorite, Sodium Hyaluronate, Passiflora Edulis (Passion Fruit) Seed Oil, Theobroma Grandiflorum (Cupuacu) Seed Butter, Palmitoyl Hexapeptide-12, Parfum (Fragrance), Tocopheryl Acetate, Propylene Carbonate, Caprylic/Capric Triglyceride, C10-18 Triglycerides, Triolein, Stearalkonium Hectorite, Glyceryl Dioleate, [+/- Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, Ci 77499), Red 7 Lake (Ci 15850)].",https://www.sephora.com/productimages/sku/s2420503-main-zoom.jpg?imwidth=315
lip-treatments,https://www.sephora.com/product/sugar-advanced-therapy-lip-treatment-P302103?icid2=products%20grid:p302103,fresh,Sugar Advanced Therapy Treatment Lip Balm,$26.00 ,2.8K,"['✔ Normal\n', '✔ Oily\n', '✔ Combination\n', '✔ Dry\n']","Cera Alba (Beeswax), Sim-mondsia Chinensis (Jojoba) Seed Oil, Hydro- genated Olive Oil Decyl Esters, Hydrogenat-ed Palm Kernel Glycerides, Ricinus Commu- nis (Castor) Seed Oil, Vitis Vinifera (Grape) Seed Oil, Ethylhexyl Palmitate, Parfum (Fra-grance), Hydrogenated Palm Glycerides, Theobroma Grandiflorum Seed Butter, Prunus Domestica Seed Oil, Copernicia Cer- ifera (Carnauba) Wax, Limnanthes Alba (Meadowfoam) Seed Oil, Hydrogenated Veg-etable Oil, Passiflora Incarnata Seed Oil, Su- crose Tetrastearate Triacetate, Crithmum Maritimum Extract, Commiphora Mukul Resin Extract, Ribes Nigrum (Black Currant) Seed Oil, Tocopherol, Ascorbyl Tetraisopal-mitate, Tocopheryl Acetate, Ascorbyl Palmi- tate, PEG-6 Isostearate, Caprylic/ Capric Tri- glyceride, Ammonium Glycyrrhizate, Trihy-droxystearin, Hesperetin Laurate, Vanillin, Butylene Glycol, BHT, Caprylyl Glycol, Sodium Hyaluronate, Hexylene Glycol, Phe- noxyethanol, Limonene, Citral, Benzyl Alco- hol, Linalool, Geraniol.

Clean at Sephora products are formulated without:
Sulfates—SLS + SLES, Parabens, Formaldehydes, Formaldehyde-releasing agents, Phthalates, Mineral Oil, Retinyl Palmitate, Oxybenzone, Coal Tar, Hydroquinone, Triclosan, Triclocarban, Undisclosed synthetic fragrances (Products can be formulated with disclosed synthetic fragrances that meet the following two criteria: (1) the synthetic fragrances do not include any of the ingredients listed in numbers 1 through 12 above (2) the synthetic fragrances are at a concentration below 1% of the total formula) The following type of acrylates: (ethyl acrylate, ethyl methacrylate, methyl methacrylate, butyl methacrylate, hydroxypropyl methacrylate, tetrahydrofurfuryl methacrylate, trimethylolpropane trimethacrylate , aluminum salts), Animal Oils/Musks/Fats, Benzophenone + Related Compounds, Butoxyethanol, Carbon Black, Lead/Lead Acetate, Methyl Cellosolve + Methoxyethanol, Methylchloroisothiazolinone & Methylisothiazolinone, Mercury + Mercury Compounds (Thimerisol), Insoluble Plastic Microbeads (This prohibited ingredient applies to products that are meant to be rinsed off ), Resorcinol, Talc (Talc that is free of any asbestos can be used in the formulation provided that Brand conducts testing to ensure that talc is free of any asbestos.), Toluene, Butylated hydroxyanisole (BHA), Butylated hydroxytoluene (BHT) that is 0.1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles as defined by the , Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer , styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin).",https://www.sephora.com/productimages/sku/s1378215-main-zoom.jpg?imwidth=315
lip-treatments,https://www.sephora.com/product/shineon-lip-jelly-P448854?icid2=products%20grid:p448854,Tower 28 Beauty,ShineOn Jelly Lip Gloss,$14.00 ,683,"['✔ Normal\n', '✔ Oily\n', '✔ Combination\n', '✔ Dry\n', '✔ Sensitive\n']","-Apricot Kernel Oil: Nurtures and soothes lips.
-Raspberry Seed Oil: Protects lips against damage from free radicals and environmental aggressors.
-Rosehip Oil: Contains vitamins A and E while promoting cell repair and regeneration.

Hydrogenated Polyisobutene, Polybutene, Prunus Armeniaca (Apricot) Kernel Oil, Ethylene/Propylene/Styrene Copolymer, Octyldodecanol, Oryza Sativa (Rice) Bran Extract, Helianthus Annuus (Sunflower) Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Ricinus Communis (Castor) Seed Oil, Rosa Canina Fruit Oil, Rubus Idaeus (Raspberry) Seed Oil, Persea Gratissima (Avocado) Oil, Tocopherol, Caprylyl Glycol, Ethylhexylglycerin, Butylene/Ethylene/Styrene Copolymer, Flavor, Iron Oxides (CI 77492), Red 22 Lake (CI 45380), Red 28 Lake (CI 45410), Manganese Violet (CI 77742), Red 40 Lake (CI 16035).

Clean at Sephora products are formulated without:
Sulfates—SLS + SLES, Parabens, Formaldehydes, Formaldehyde-releasing agents, Phthalates, Mineral Oil, Retinyl Palmitate, Oxybenzone, Coal Tar, Hydroquinone, Triclosan, Triclocarban, Undisclosed synthetic fragrances (Products can be formulated with disclosed synthetic fragrances that meet the following two criteria: (1) the synthetic fragrances do not include any of the ingredients listed in numbers 1 through 12 above and (2) the synthetic fragrances are at a concentration below 1% of the total formula) The following type of acrylates: (ethyl acrylate, ethyl methacrylate, methyl methacrylate, butyl methacrylate, hydroxypropyl methacrylate, tetrahydrofurfuryl methacrylate, trimethylolpropane trimethacrylate , aluminum salts), Animal Oils/Musks/Fats, Benzophenone + Related Compounds, Butoxyethanol, Carbon Black, Lead/Lead Acetate, Methyl Cellosolve + Methoxyethanol, Methylchloroisothiazolinone & Methylisothiazolinone, Mercury + Mercury Compounds (Thimerisol), Insoluble Plastic Microbeads (This prohibited ingredient applies to products that are meant to be rinsed off ), Resorcinol, Talc (Talc that is free of any asbestos can be used in the formulation provided that Brand conducts testing to ensure that talc is free of any asbestos.), Toluene, Butylated hydroxyanisole (BHA), Butylated hydroxytoluene (BHT) that is 0.1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles as defined by the , Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer , styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin).",https://www.sephora.com/productimages/sku/s2328094-main-zoom.jpg?imwidth=315
lip-treatments,https://www.sephora.com/product/sephora-favorites-give-me-some-balm-set-P467042?icid2=products%20grid:p467042,Sephora Favorites,Give Me Some Lip Balm Set,$30.00 ($65.00 value),33,[],"-Papaya Enzymes (ILIA Lip Wrap Clean Hydrating Lip Mask): Gently buff away dead skin, improving the penetration of other ingredients.
-Avocado, Jojoba, and Argan Oils (tarte SEA Jelly Glaze Anytime Lip Mask in Strawberry Jelly): Replenish moisture and visibly improve texture with an abundant supply of fatty acids.
-Hyaluronic Acid (tarte SEA Jelly Glaze Anytime Lip Mask in Strawberry Jelly): Visibly firms and moisturizes for supple-looking lips.

ILIA Lip Wrap Clean Hydrating Lip Mask:
Caprylic/Capric Triglyceride, Mango Butter Dimer Dilinoleyl Esters/Dimer Dilinoleate Copolymer, Capryloyl Glycerin/Sebacic Acid Copolymer, Bis-Diglyceryl Polyacyladipate-2, Polyglyceryl-10 Decaoleate, Polyglyceryl-10 Pentaoleate, Polyglyceryl-10 Pentaisostearate, C10-18 Triglycerides, Butyrospermum Parkii (Shea) Butter, Cera Alba/Beeswax/Cire d'abeille, Glyceryl Stearate SE, Hydroxystearic Acid, Aroma, Cocos Nucifera (Coconut) Oil, Lactobacillus/Papaya Fruit Ferment Extract, Silica, Polyhydroxystearic Acid, Ricinus Communis (Castor) Seed Oil, Carica Papaya (Papaya) Seed Oil, Sodium Hyaluronate, Tocopherol, Hydrogenated Castor Oil, Stevia Rebaudiana Leaf/Stem Extract, Gardenia Taitensis Flower Extract, Salicornia Herbacea Extract, Undaria Pinnatifida Extract, Geraniol, Limonene, Linalool, CI 77891 (Titanium Dioxide).

Fresh Rose Petal-Soft Deep Hydration Lip Balm
-Rose Flower Oil: Helps to hydrate and soothe dry skin.
-Blend of Emollient Oils: Helps to visibly soften and moisturize lips.
-Vitamin E: Helps to protect.

Isononyl Isononanoate, C10-30 Cholesterol/Lanosterol Esters, Bis-Diglyceryl Poly-acyladipate-2, Cera Microcristallina (Microcrystalline Wax), Polybutene, Ethylene/Propylene/Styrene Co-polymer, Glyceryl Behenate/Eicosadioate, Prunus Armeniaca (Apricot) Kernel Oil, Butylene/Ethylene/Styrene Copolymer, Ribes Nigrum (Black Currant) Seed Oil, Vitis Vinifera (Grape) Seed Oil, Rosa Damascena Extract, Rosa Damascena Flower Oil, Tocopherol, Ascorbyl Palmitate, Silica Silylate, Benzo-triazolyl Dodecyl p-Cresol, Parfum (Fragrance), Pentaerythrityl Tetra-Di-t-Butyl Hydroxyhydrocinna-mate, CI 77891 (Titanium Dioxide), BHT, Polyglyceryl-2 Triisostearate, Aqua (Water), Trimethylolpropane Triisostearate, CI 15850 (Red 7), CI 15985 (Yellow 6 Lake), Propyl Gallate, Citronellol, Geraniol, Limonene.

SEPHORA COLLECTION Clean Lip Balm & Scrub:
Ricinus Communis (Castor) Seed Oil, Butyrospermum Parkii Butter (Butyrospermum Parkii (Shea Butter)), Simmondsia Chinensis (Jojoba) Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Oryza Sativa Cera (Oryza Sativa (Rice) Bran Wax), Copernicia Cerifera (Carnauba) Wax, Helianthus Annuus Seed Cera (Helianthus Annuus (Sunflower) Seed Wax), Candelilla Cera (Euphorbia Cerifera (Candelilla) Wax), Dicalcium Phosphate, Argania Spinosa Kernel Oil, Cocos Nucifera (Coconut) Oil, Parfum (Fragrance), CI 77947 (Zinc Oxide), Tocopherol, Helianthus Annuus (Sunflower) Seed Oil, Citric Acid.


Hydrogenated Polyisobutene, Diisostearyl Malate, Bis-Behenyl/Isostearyl/Phytosteryl Dimer Dilinoleyl Dimer Dilinoleate, Polyisobutene, Microcrystalline Wax/Cera Microcristallina/Cire Microcrystalline, Octyldodecanol, Copernicia Cerifera (Carnauba) Wax/Cera Carnauba/Cire De Carnauba, Hydrogenated Styrene/Isoprene Copolymer, Phenoxyethanol, Synthetic Wax, Butyrospermum Parkii (Shea) Butter, Flavor/Aroma, Ethylhexylglycerin, Argania Spinosa Kernel Oil, Isohexadecane, Persea Gratissima Oil, Simmondsia Chinensis Seed Oil, Squalane, Tocopheryl Acetate, Cocos Nucifera (Coconut) Oil, Diethylhexyl Syringylidenemalonate, Water/Aqua/Eau, Propylene Glycol, Limonene, Linalool, Caprylic/Capric Triglyceride, Ethylene/Propylene/Styrene Copolymer, Acacia Seyal Gum Extract, Citral, Sargassum Pacificum Thallus Extract, Butylene/Ethylene/Styrene Copolymer, Gardenia Taitensis Flower Extract, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Sodium Hyaluronate, Xanthan Gum, Potassium Sorbate, Tocopherol, Tripeptide-1, Citric Acid, Red 6 Lake (CI 15850), Titanium Dioxide (CI 77891), Yellow 5 Lake (CI 19140), Red 7 Lake (CI 15850).


Pentaerythrityl Tetraisostearate, Diisostearyl Malate, Bis-Diglyceryl Polyacyladipate-2, Polyglyceryl-3 Diisostearate, Polybutene, Triisostearin, PEG-45/Dodecyl Glycol Copolymer, Euphorbia Cerifera (Candelilla) Wax/Candelilla Cera/Cire De Candelilla, Polyethylene, Synthetic Wax, Mica, Ozokerite, Dimer Dilinoleyl Dimer Dilinoleate, Silica, Tocopheryl Acetate, Fragrance/Parfum, Persea Gratissima (Avocado) Oil, Cocos Nucifera (Coconut) Oil, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Diethylhexyl Syringylidenemalonate, Butyrospermum Parkii (Shea) Nut Extract, Triolein, Sodium Hyaluronate, Tin Oxide, Caprylic/Capric Triglyceride, Synthetic Fluorphlogopite, Aluminum Calcium Sodium Silicate. May Contain Peut Contenir [+/- : Titanium Dioxide (CI77891), Iron Oxides (CI77491, CI77492, CI77499), Red 6 (CI15850), Red 7 (CI15850), Red 27 Lake (CI45410), Yellow 5 Lake (CI19140), Blue 1 Lake (CI42090)].",https://www.sephora.com/productimages/sku/s2418945-main-zoom.jpg?imwidth=315
