Label,URL,brand,name,price,rating,skin_type,ingredients,product_image
sunscreen-sun-protection,https://www.sephora.com/product/ilia-super-serum-skin-tint-spf-40-P455418?icid2=skugrid:p455418,ILIA,Super Serum Skin Tint SPF 40 Foundation,$48.00 ,No Info,No info,"
Aqua/Water/Eau, Squalane*, Shea Butter Ethyl Esters, Isoamyl Laurate*, Polyglyceryl-3 Ricinoleate, Butyloctyl Salicylate, Propanediol, Isopropyl Isostearate, Polyglyceryl-3 Diisostearate, Methylpropanediol, Niacinamide, Sodium Chloride, Lecithin, Caprylyl Glycol, Silica, Aloe Barbadensis Leaf Juice Powder, Bisabolol, Hydrolyzed Sodium Hyaluronate, Allantoin, Phenylpropanol, Sodium Myristoyl Glutamate, Sodium Hyaluronate, Tetrasodium Glutamate Diacetate, Aluminum Hydroxide, Polyhydroxystearic Acid. May Contain/Peut Contenir (±): CI 77491, CI 77492, CI 77499 (Iron Oxides), CI 77891 (Titanium Dioxide).",https://www.sephora.com/productimages/sku/s2428779-main-zoom.jpg?imwidth=315
sunscreen-sun-protection,https://www.sephora.com/product/supergoop-unseen-sunscreen-spf-40-P454380?skuId=2344307&icid2=skugrid:p454380,Supergoop!,Unseen Sunscreen SPF 40 PA+++,$44.00 ($51.00 value),No Info,No info,"
Avobenzone, 3%, Homosalate 8%, Octisalate 5%, Octocrylene 4%, Isododecane, Dimethicone Crosspolymer, Dimethicone/Bis-Isobutyl PPG-20 Crosspolymer, Polymethylsilsesquioxane, Isohexadecane, Dicaprylyl Carbonate, Meadowfoam Estolide, Caprylic/Capric Triglyceride, Polyester-7, Neopentyl Glycol Diheptanoate, Lithothamnion Calcareum Extract, Caprylyl Glycol, Butyrospermum Parkii (Shea) Butter, Jojoba Esters, Mannitol, Olibanum, Lecithin, Microcrystalline Cellulose, Diatomaceous Earth, Zinc Sulfate, Silica, Tocopherol.",https://www.sephora.com/productimages/sku/s2344307-main-zoom.jpg?imwidth=315
sunscreen-sun-protection,https://www.sephora.com/product/supergoop-glowscreen-sunscreen-spf-40-P456218?icid2=skugrid:p456218,Supergoop!,Glowscreen Sunscreen SPF 40 PA+++,$36.00 ,No Info,No info,"
Avobenzone 3%, Octisalate 5%, Octocrylene 10%, Water, Propanediol, Butyloctyl Salicylate, Glycerin, C12-15 Alkyl Benzoate, Polymethylsilsesquioxane, Niacinamide, Glyceryl Stearate Citrate, Bismuth Oxychloride, Mica, Titanium Dioxide, Lauryl Lactate, Isododecane, Isodecyl Neopentanoate, Glyceryl Stearate, Diisopropyl Sebacate, Cetyl Phosphate, Caprylic/Capric Triglyceride, Coco-Caprylate, Ethylhexyl Hydroxystearate, Butylene Glycol, Arginine, Hydroxyacetophenone, Caprylyl Glycol, 1,2-Hexanediol, Iron Oxides, Sodium Hyaluronate, Chlorphenesin, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Trisodium Ethylenediamine Disuccinate, Phospholipids, Limonium Gerberi Extract, Leuconostoc/ Radish Root Ferment Filtrate, Theobroma Cacao (Cocoa) Seed Extract, Pantothenic Acid, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil, Ferulic Acid.",https://www.sephora.com/productimages/sku/s2315158-main-zoom.jpg?imwidth=315
sunscreen-sun-protection,https://www.sephora.com/product/cicapair-tiger-grass-color-correcting-treatment-spf-30-P411540?icid2=skugrid:p411540,Dr. Jart+,Cicapair™ Tiger Grass Color Correcting Treatment SPF 30,$52.00 ,No Info,No info,"
Water, Centella Asiatica Leaf Water, Isononyl Isononanoate, Caprylic / Capric Triglyceride, Isotridecyl Isononanoate, Butylene Glycol, Methyl Methacrylate Crosspolymer, Beeswax, Glycerin, Niacinamide, Polymethylsilsesquioxane, Pan-Thenol, Iron Oxides (CI 77491), Iron Oxides (CI 77492), Polyglyceryl-4 Diisostearate/Polyhydroxystearate/Sebacate, Aluminum Hydroxide, Disteardimonium Hectorite, Sodium Benzoate, Chromium Oxide Greens, Potassium Sorbate, Fragaria Vesca (Strawberry) Leaf Extract, Disodium EDTA, Alcohol, Asiaticoside, Aden- Osine, Triethoxycaprylylsilane, Lavandula Angustifolia (Lavender) Oil, Asiatic Acid, Madecassic Acid, Rosmarinus Officinalis (Rosemary) Leaf Oil, 1,2- Hexanediol, Anthemis Nobilis Flower Oil, Houttuynia Cordata Extract, Centella Asiatica Extract, Gentiana Lutea Root Extract, Artemisia Absinthium Extract, Achillea Millefolium Extract, Arnica Montana Flower Extract, Aniba Rosodora (Rosewood) Wood Oil, Madecassoside, Centella Asiatica Meristem Cell Culture, Xanthan Gum, Titanium Dioxide, Zinc Oxide, Methylpropanediol, Bis",https://www.sephora.com/productimages/sku/s1855709-main-zoom.jpg?imwidth=315
sunscreen-sun-protection,https://www.sephora.com/product/your-skin-but-better-cc-cream-spf-50-P411885?icid2=skugrid:p411885,IT Cosmetics,CC+ Cream with SPF 50+,$39.50 ,No Info,No info,"
Water, Snail Secretion Filtrate, Phenyl Trimethicone, Dimethicone, Butylene Glycol, Butylene Glycol Dicaprylate/Dicaprate, Orbignya Oleifera Seed Oil, Butyloctyl Salicylate, Cetyl Peg/Ppg-10/1 Dimethicone, Cyclopentasiloxane, Cyclohexasiloxane, Magnesium Sulfate, Polyglyceryl-4 Isostearate, Dimethicone/Vinyl Dimethicone Crosspolymer, Aluminum Hydroxide, Hexyl Laurate, Stearic Acid, Calcium Stearate, Caprylyl Glycol, Triethoxycaprylylsilane, Ethylhexylglycerin, Citrus Medica Limonum (Lemon) Peel Oil, Tocopheryl Acetate, Sorbitan Isostearate, Phenoxyethanol, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, 1,2-Hexanediol, Disodium Edta, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Aurantifolia (Lime) Oil, Vitis Vinifera (Grape) Seed Oil, Punica Granatum Seed Oil, Pinus Sylvestris Leaf Oil, Persea Gratissima (Avocado) Oil, Niacinamide, Citrus Grandis (Grapefruit) Peel Oil, Cholesterol, Anthemis Nobilis Flower Water, Lactobacillus/Honeysuckle Flower/Licorice Root/Morus Alba Root/Pueraria Lobata Root/Schizandra Chinensis Fruit/Scutellaria Baicalensis ",https://www.sephora.com/productimages/sku/s1868157-main-zoom.jpg?imwidth=315
sunscreen-sun-protection,https://www.sephora.com/product/pure-radiant-tinted-moisturizer-spf-30-pa-P302923?icid2=skugrid:p302923,NARS,Pure Radiant Tinted Moisturizer Broad Spectrum SPF 30,$45.00 ,No Info,No info,"Water, Dimethicone, Ethylhexyl Methoxycinnamate, Titanium Dioxide, Butylene Glycol, Propanediol, Diethylhexyl Succinate, Glycerin, Nylon-12, Cyclomethicone, Peg-9 Polydimethylsiloxyethyl Dimethicone, Peg-10 Dimethicone, Aluminum Hydroxide, Diphenylsiloxy Phenyl Trimethicone, Disteardimonium Hectorite, Sorbitan Sesquiisostearate, Stearic Acid Phenoxyethanol, Polymethylsilsesquioxane, Fragrance, Dimethicone/Vinyl, Dimethicone Crosspolymer, Trisodium, Edta, Aluminum Distearate, Talc, Ascorbyl Glucoside, Polysilicone-2, Vibrio Alginolyticus Ferment Filtrate, Tocopherol, Alteromonas Ferment Filtrate, Maris Sal (Sea Salt), Hydrogen Dimethicone, Bht, Algae (Algae Extract), Sodium Metabisulfite, Curcuma Longa [Curcuma Longa (Turmeric) Root Extract], Potassium Sorbate, Geraniol, Limonene, Citral, Linalool [+/- (May Contain): Ci 77891 (Titanium Dioxide), Ci 77491 (Iron Oxides), Ci 77492 (Iron Oxides), Ci 77499 (Iron Oxides)].",https://www.sephora.com/productimages/sku/s1396399-main-zoom.jpg?imwidth=315
sunscreen-sun-protection,https://www.sephora.com/product/tinted-moisturizer-broad-spectrum-oil-free-P140906?icid2=skugrid:p140906,Laura Mercier,Tinted Moisturizer Oil Free Natural Skin Perfector Broad Spectrum SPF 20,$47.00 ,No Info,No info,"Ethylhexyl Methoxycinnamate, Ethylhexyl Salicylate. Water (Aqua), Disiloxane, PEG -30 Dipolyhydroxystearate, C12-15 Alkyl Benzoate, Ethylhexyl Palmitate, Glycerin, Isohexadecane, Cyclopentasiloxane, Phenoxyethanol, Boron Nitride, Jojoba Esters, Magnesium Stearate, Sodium Dehydroacetate, Squalane, Laryl PCA, Tocopheryl Acetate, Tetradibutyl Pentaerithrityl Hydroxyhydrocinnammate, Isopropyl Titanium Triisostearrate, Disodium Edta, PPG-15, Stearyl Ether, Dipotassium Glycyrrhizinate, Methylparaben, Propylparaben. (May Contain) +/-: Titanium Dioxide (CI 77891), Iron Oxide (CI 77492), Iron Oxide (CI 77491), Iron Oxide (CI 77499).",https://www.sephora.com/productimages/sku/s2449478-main-zoom.jpg?imwidth=315
sunscreen-sun-protection,https://www.sephora.com/product/tinted-moisturizer-broad-spectrum-P109936?icid2=skugrid:p109936,Laura Mercier,Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,$47.00 ,No Info,No info,"
Water, Glycerin, Butylene Glycol, Dimethicone, Peg/Ppg-14/7 Dimethyl Ether, Hydrogenated Polydecene, Peg-5 Glyceryl Stearate, Isododecane, Silica, Phenyl Trimethicone, Trehalose, Phenoxyethanol, Tocopherol, Butyrospermum Parkii (Shea) Butter, Macadamia Ternifolia Seed Oil, Aleurites Moluccanus Seed Oil, Rhus Verniciflua Peel Wax, Tamarindus Indica Seed Gum, Saccharide Isomerate, Pentylene Glycol, Isostearic Acid, Glyceryl Stearate Se, Polysilicone-11, Behenyl Alcohol, Behenic Acid, Stearic Acid, Batyl Alcohol, Hydroxypropyl Methylcellulose Stearoxy Ether, Peg-30 Phytosterol, Disodium Edta, Sodium Metaphosphate, Carbomer, Polyacrylate Crosspolymer-6, Potassium Hydroxide, Bht, Sodium Citrate, Citric Acid, T-Butyl Alcohol. May Contain: Titanium Dioxide, Iron Oxides.",https://www.sephora.com/productimages/sku/s2250611-main-zoom.jpg?imwidth=315
sunscreen-sun-protection,https://www.sephora.com/product/supergoop-play-everyday-lotion-spf-50-with-sunflower-extract-P454383?icid2=skugrid:p454383,Supergoop!,PLAY Everyday Lotion SPF 50 PA++++,$22.00 ,No Info,No info,"
Avobenzone 3%, Homosalate 10%, Octisalate 5%, Water, Polyester-8, Acrylates Copolymer, Diisopropyl Sebacate, Glycerin, Isodecyl Neopentanoate, Isododecane, Lauryl Lactate, Cetyl Alcohol, Potassium Cetyl Phosphate, Brassica Campestris/Aleurites Fordi Oil Copolymer, Oryza Sativa (Rice) Bran Extract, Cetearyl Olivate, Ammonium Acryloyldimethyltaurate/VP Copolymer, Hydroxyacetophenone, Sorbitan Olivate, Diethylhexyl Syringylidenemalonate, Aniba Rosaeodora (Rosewood) Wood Oi, Chlorphenesin, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Limon (Lemon) Peel Oil, Ethylhexylglycerin, Eucalyptus Globulus Leaf Oil, Ocimum Basilicum (Basil) Flower/Leaf Extract, Pelargonium Graveolens Flower Oil, Pogostemon Cablin Oil, Pentylene Glycol, 1,2-Hexanediol, Caprylyl Glycol, Xanthan Gum, Helianthus Annuus (Sunflower) Extract, Behenic Acid, Cetyl Behenate, Isostearyl Isostearate, Trisodium Ethylenediamine Disuccinate, Tocopherol, Allantoin, Rosmarinus Officinalis (Rosemary) Leaf Extract, Caprylic/Capric Triglyceride, Panthenol, Pentasodium Triphosphate, Citric Acid",https://www.sephora.com/productimages/sku/s2322774-main-zoom.jpg?imwidth=315
sunscreen-sun-protection,https://www.sephora.com/product/fenty-skin-hydra-vizor-moisturizer-broad-spectrum-spf-30-sunscreen-P467249?icid2=skugrid:p467249,Fenty Skin,Hydra Vizor Invisible Moisturizer Broad Spectrum SPF 30 Sunscreen,$35.00 ,No Info,No info,,https://www.sephora.com/productimages/sku/s2418879-main-zoom.jpg?imwidth=315
