Label,URL,brand,name,price,rank,skin_type,ingredients,product_image,brand2,name3,price4,rank5,skin_type6,ingredients7,product_image8
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/banana-bright-eye-creme-P426339?icid2=products%20grid:p426339,OLEHENRIKSEN,Banana Bright Eye Crème,$39.00 ,3.8,No Info,"Vitamin C: Targets visible signs of aging.
Collagen: Helps improve skin’s youthful elasticity.

Water, Simmondsia Chinensis (Jojoba) Seed Oil, Butyrospermum Parkii (Shea) Butter, Isododecane, Coconut Alkanes, Tetrahexyldecyl Ascorbate, Polyglyceryl-3 Ri",https://www.sephora.com/productimages/sku/s2018984-main-zoom.jpg?imwidth=315,,,,,,,
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/peace-out-retinol-eye-stick-P467038?icid2=products%20grid:p467038,Peace Out,Retinol Eye Stick,$28.00 ,0,No Info,"Encapsulated Retinol: Softens the look of fine lines and wrinkles and visibly smooths texture.
-Power Peptide Complex: smooths the visible signs of aging for firmer-looking skin.
-Vegan Squalane and Vegan Astaxanthin: Prevents dehydration and boosts mois",https://www.sephora.com/productimages/sku/s2415420-main-zoom.jpg?imwidth=315,,,,,,,
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/avocado-melt-retinol-eye-sleeping-mask-P447791?icid2=products%20grid:p447791,Glow Recipe,Avocado Melt Retinol Eye Sleeping Mask,$42.00 ,0,No Info,"Encapsulated Retinol: Helps to improve the look of uneven skin tone, and addresses the damage caused by daily exposure to pollutants and other free radicals. Encapsulation of the Retinol allows it to sit on the surface of the skin longer and release smal",https://www.sephora.com/productimages/sku/s2266708-main-zoom.jpg?imwidth=315,,,,,,,
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/c-tango-multivitamin-eye-cream-P429515?icid2=products%20grid:p429515,Drunk Elephant,C-Tango™ Vitamin C Eye Cream,$64.00 ,3.8,No Info,"Power 5C Vitamin Complex: Five forms of vitamin C work together to brighten the look of uneven tone and visibly firm the skin. Paired with peptides and antioxidants like vitamin E and superoxide dismutase, this complex offers unparalleled defense against",https://www.sephora.com/productimages/sku/s2062081-main-zoom.jpg?imwidth=315,,,,,,,
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/caffeine-eye-cream-P443840?icid2=products%20grid:p443840,The INKEY List,Caffeine Eye Cream,$9.99 ,4.1,No Info,"Caffeine: Reduces the look of puffiness.
Matrixyl 3000™: A peptide that helps to reduce the appearance of fine lines and wrinkles.

Water, Glycerin, Dicaprylyl Carbonate, Propanediol, Polyglyceryl-6 Distearate, Cetyl Alcohol, Hydroxyethyl Acrylate/sodiu",https://www.sephora.com/productimages/sku/s2211514-main-zoom.jpg?imwidth=315,,,,,,,
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/fenty-skin-rihanna-flash-nap-instant-revival-eye-gel-cream-P469087?icid2=products%20grid:p469087,FENTY SKIN,Flash Nap Instant Revival Eye Gel-Cream,$32.00 ,3.9,No Info,"Horse Chestnut: A flowering tree that Reduces the look of puffiness.
-Hyaluronic Acid: Hydrates, nourishes, and visibly renews.
-Green Tea: Rich in antioxidants to help defend against environmental stressors.                                                                                                                                                                                                                                                                Aqua/Water/Eau, Glycerin, Propanediol",https://www.sephora.com/productimages/sku/s2443703-main-zoom.jpg?imwidth=315,,,,,,,
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/ole-henriksen-wrinkle-blur-bakuchiol-eye-gel-creme-P469213?icid2=products%20grid:p469213,OLEHENRIKSEN,Wrinkle Blur™ Bakuchiol Eye Gel Crème,$49.00 ,4.5,No Info,"Bakuchiol: Evens skin tone, smooths the appearance of skin texture, and Targets the look of fine lines and wrinkles.
-Orchid Stem Cell: Helps reduce the look of fine lines and wrinkles and visibly improves skin firmness.
-Peptides: help condition the ski",https://www.sephora.com/productimages/sku/s2434942-main-zoom.jpg?imwidth=315,,,,,,,
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/moisturizing-eye-bomb-P422905?icid2=products%20grid:p422905,belif,Moisturizing Eye Bomb,$48.00 ,4.5,No Info,"Tiger Grass (Pennywort): Soothes skin.
-Comfrey Leaf: Detoxifies skin, leaving it smooth, soft, and clear.

                                                                                                                                                                                                                                                                Water, Dipropylene Glycol, Butylene Glycol, Glycerin, Squalane, Cyclopentasiloxane, Caprylyl Trimethicone, Dimethicone, HDI/TriMethylol Hexyllacto",https://www.sephora.com/productimages/sku/s1997394-main-zoom.jpg?imwidth=315,,,,,,,
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/benefiance-wrinkle-smoothing-eye-cream-P448203?icid2=products%20grid:p448203,Shiseido,Benefiance Wrinkle Smoothing Eye Cream,$64.00 ,4.4,No Info,"ReNeura Technology+™: Helps improve skin receptivity to awaken and maintain the effectiveness of your treatment over time.
-KOMBU-Bounce Complex: Helps address the causes of wrinkle formation and serves as A natural wrinkle inner-filler.

                                                                                                                                                                                                                                                                Water, Hydrogen",https://www.sephora.com/productimages/sku/s2246650-main-zoom.jpg?imwidth=315,,,,,,,
eye-treatment-dark-circle-treatment,https://www.sephora.com/product/ren-the-ultimate-glow-eye-cream-P467971?icid2=products%20grid:p467971,REN Clean Skincare,Brightening Dark Circle Eye Cream,$49.00 ,4.5,No Info,"Elderberry Flower: Brightens skin to reduce the appearance of dark circles.
-Glycogen: visibly improves luminosity and evenness of skin tone while moisturizing.
-Hyaluronic Acid: Hydrates and smooths the eye area.

                                                                                                                                                                                                                                                                Aqua (Water), Undecane, Glycerin, Capry",https://www.sephora.com/productimages/sku/s2433746-main-zoom.jpg?imwidth=315,,,,,,,
